BIRTH_YEAR,COUNTY_ORIGIN,BIRTH_MONTH,CALF_BREED_TYPE,TOTAL_BIRTH
2016,WATERFORD,DEC,DAIRY,406
2016,WATERFORD,FEB,BEEF,10792
2016,WATERFORD,FEB,DAIRY,22560
2016,WATERFORD,JAN,BEEF,3333
2016,WATERFORD,JAN,DAIRY,9523
2016,WATERFORD,JUL,BEEF,1393
2016,WATERFORD,JUL,DAIRY,223
2016,WATERFORD,JUN,BEEF,2107
2016,WATERFORD,JUN,DAIRY,409
2016,WATERFORD,MAR,BEEF,12832
2016,WATERFORD,MAR,DAIRY,7281
2016,WATERFORD,MAY,BEEF,4071
2016,WATERFORD,MAY,DAIRY,939
2016,WATERFORD,NOV,BEEF,938
2016,WATERFORD,NOV,DAIRY,673
2016,WATERFORD,OCT,BEEF,1257
2016,WATERFORD,OCT,DAIRY,1055
2016,WATERFORD,SEP,BEEF,1446
2016,WATERFORD,SEP,DAIRY,868
2016,WESTMEATH,APR,BEEF,8308
2016,WESTMEATH,APR,DAIRY,1202
2016,WESTMEATH,AUG,BEEF,1933
2016,WESTMEATH,AUG,DAIRY,94
2016,WESTMEATH,DEC,BEEF,1439
2016,WESTMEATH,DEC,DAIRY,215
2016,WESTMEATH,FEB,BEEF,4292
2016,WESTMEATH,FEB,DAIRY,5841
2016,WESTMEATH,JAN,BEEF,2136
2016,WESTMEATH,JAN,DAIRY,1308
2016,WESTMEATH,JUL,BEEF,2345
2016,WESTMEATH,JUL,DAIRY,151
2016,WESTMEATH,JUN,BEEF,3002
2016,WESTMEATH,JUN,DAIRY,163
2016,WESTMEATH,MAR,BEEF,8734
2016,WESTMEATH,MAR,DAIRY,3061
2016,WESTMEATH,MAY,BEEF,6183
2016,WESTMEATH,MAY,DAIRY,482
2016,WESTMEATH,NOV,BEEF,1410
2016,WESTMEATH,NOV,DAIRY,416
2016,WESTMEATH,OCT,BEEF,1839
2016,WESTMEATH,OCT,DAIRY,406
2016,WESTMEATH,SEP,BEEF,1876
2016,WESTMEATH,SEP,DAIRY,258
2016,WEXFORD,APR,BEEF,9382
2016,WEXFORD,APR,DAIRY,2330
2016,WEXFORD,AUG,BEEF,1913
2016,WEXFORD,AUG,DAIRY,347
2016,WEXFORD,DEC,BEEF,1749
2016,WEXFORD,DEC,DAIRY,951
2016,WEXFORD,FEB,BEEF,9882
2016,WEXFORD,FEB,DAIRY,15835
2016,WEXFORD,JAN,BEEF,4644
2016,WEXFORD,JAN,DAIRY,8395
2016,WEXFORD,JUL,BEEF,1721
2016,WEXFORD,JUL,DAIRY,293
2016,WEXFORD,JUN,BEEF,2794
2016,WEXFORD,JUN,DAIRY,533
2016,WEXFORD,MAR,BEEF,12503
2016,WEXFORD,MAR,DAIRY,5933
2016,WEXFORD,MAY,BEEF,5624
2016,WEXFORD,MAY,DAIRY,1137
2016,WEXFORD,NOV,BEEF,2220
2016,WEXFORD,NOV,DAIRY,1215
2016,WEXFORD,OCT,BEEF,2310
2016,WEXFORD,OCT,DAIRY,1530
2016,WEXFORD,SEP,BEEF,2336
2016,WEXFORD,SEP,DAIRY,962
2016,WICKLOW,APR,BEEF,5345
2016,WICKLOW,APR,DAIRY,922
2016,WICKLOW,AUG,BEEF,1210
2016,WICKLOW,AUG,DAIRY,242
2016,WICKLOW,DEC,BEEF,1181
2016,WICKLOW,DEC,DAIRY,500
2016,WICKLOW,FEB,BEEF,3667
2016,WICKLOW,FEB,DAIRY,3167
2016,WICKLOW,JAN,BEEF,1819
2016,WICKLOW,JAN,DAIRY,1177
2016,WICKLOW,JUL,BEEF,1318
2016,WICKLOW,JUL,DAIRY,119
2016,WICKLOW,JUN,BEEF,1928
2016,WICKLOW,JUN,DAIRY,186
2016,WICKLOW,MAR,BEEF,5649
2016,WICKLOW,MAR,DAIRY,1854
2016,WICKLOW,MAY,BEEF,3536
2016,WICKLOW,MAY,DAIRY,379
2016,WICKLOW,NOV,BEEF,1449
2016,WICKLOW,NOV,DAIRY,956
2016,WICKLOW,OCT,BEEF,1308
2016,WICKLOW,OCT,DAIRY,1217
2016,WICKLOW,SEP,BEEF,1210
2016,WICKLOW,SEP,DAIRY,879
